user,degree_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient,neighbor_count
EMP-1001,0.324468085106383,0.003177332934516192,0.07230528853907263,0,61
EMP-1002,0.25,0.0015033192378538002,0.05973191375324061,0,47
EMP-1003,0.25,0.001512536434130296,0.059817680357142695,0,47
EMP-1004,0.2765957446808511,0.0020518658396908146,0.06414120039252166,0,52
EMP-1005,0.3670212765957447,0.004026209428098024,0.08090596912649123,0,69
EMP-1006,0.35106382978723405,0.003610303216078114,0.07815448019478793,0,66
EMP-1007,0.36170212765957444,0.0038715405600899307,0.08001560259764835,0,68
EMP-1008,0.32978723404255317,0.002905314119492427,0.07516033731155386,0,62
EMP-1009,0.2978723404255319,0.002357625253362575,0.06867303797217994,0,56
EMP-1010,0.26595744680851063,0.0018319192698124324,0.0624238089434019,0,50
EMP-1011,0.30851063829787234,0.0026940863350899584,0.07005881755912283,0,58
EMP-1012,0.3351063829787234,0.003189531562010952,0.07541053846655572,0,63
EMP-1013,0.2765957446808511,0.0020494171599004583,0.06417121884398298,0,52
EMP-1014,0.2765957446808511,0.002034847833091312,0.06429685488614612,0,52
EMP-1015,0.3404255319148936,0.003224771594191147,0.07674816609197346,0,64
EMP-1016,0.3457446808510638,0.003452336431677979,0.07729940745855773,0,65
EMP-1017,0.3723404255319149,0.004135375087966195,0.08201523315067454,0,70
EMP-1018,0.35638297872340424,0.0037381667920184654,0.07899621753413513,0,67
EMP-1019,0.28723404255319146,0.0022450750299259623,0.0661902179237591,0,54
EMP-1020,0.2553191489361702,0.0016948414538412646,0.06007595272889019,0,48
EMP-1021,0.24468085106382978,0.0013733547318945064,0.059028791978357975,0,46
EMP-1022,0.28191489361702127,0.002022199115043885,0.06595216051886701,0,53
EMP-1023,0.28723404255319146,0.002125993290763445,0.06685848357359837,0,54
EMP-1024,0.2765957446808511,0.0019605183524849827,0.06481020677776249,0,52
EMP-1025,0.3404255319148936,0.0032230176723333902,0.07672759871855211,0,64
EMP-1026,0.3776595744680851,0.0458633745658489,0.07946398289490458,0,71
EMP-1027,0.324468085106383,0.0028552700709738752,0.07386832574549787,0,61
EMP-1028,0.35106382978723405,0.003573258716848826,0.07827130887696862,0,66
EMP-1029,0.26595744680851063,0.0018692995932940908,0.06209098404182534,0,50
EMP-1030,0.324468085106383,0.0029911508466779323,0.07325550111410234,0,61
EMP-1031,0.28191489361702127,0.002224546973912566,0.06474938860703425,0,53
EMP-1032,0.324468085106383,0.002880378284580872,0.07376901889680121,0,61
EMP-1033,0.3404255319148936,0.0033056744147009543,0.07633043407086569,0,64
EMP-1034,0.2712765957446808,0.0019020677154601652,0.06343699397874629,0,51
EMP-1035,0.3457446808510638,0.0033731135893498025,0.07765050594568967,0,65
EMP-1036,0.32978723404255317,0.002986136230377998,0.07476479313203446,0,62
EMP-1037,0.35638297872340424,0.0037042697522221804,0.07915556387282542,0,67
EMP-1038,0.35106382978723405,0.0036102900436105374,0.07806805081655738,0,66
EMP-1039,0.2765957446808511,0.002051691585722426,0.06417072010209181,0,52
EMP-1040,0.2712765957446808,0.0019026368068407351,0.06351555011980968,0,51
EMP-1041,0.2925531914893617,0.0023393714149535683,0.06732248394554984,0,55
EMP-1042,0.28191489361702127,0.0020499915862898896,0.06571711444319858,0,53
EMP-1043,0.28191489361702127,0.0021070612071458555,0.06543628587947985,0,53
EMP-1044,0.26595744680851063,0.0018468626618331721,0.06225009599641819,0,50
EMP-1045,0.3351063829787234,0.003046223315997111,0.07602653764386529,0,63
EMP-1046,0.35638297872340424,0.0037068032257019357,0.07927559489176461,0,67
EMP-1047,0.3404255319148936,0.003235680667356625,0.07665378793581093,0,64
EMP-1048,0.3351063829787234,0.0030915013675806447,0.07578817908206294,0,63
EMP-1049,0.32978723404255317,0.054961864103991225,0.07029481038984489,0,62
EMP-1050,0.2712765957446808,0.0019024298768665355,0.06347315718784187,0,51
EMP-1051,0.28723404255319146,0.0022284788950909817,0.06639141702964182,0,54
EMP-1052,0.3404255319148936,0.05528100549661844,0.07168949196719512,0,64
EMP-1053,0.26063829787234044,0.0017367801876636395,0.06134638214058605,0,49
EMP-1054,0.26595744680851063,0.001857560865670255,0.06212917521356777,0,50
EMP-1055,0.3351063829787234,0.0031751866241539793,0.07545691816913816,0,63
EMP-1056,0.35106382978723405,0.0034777273694326714,0.07868323508478872,0,66
EMP-1057,0.3457446808510638,0.003477792967109683,0.07711515046863414,0,65
EMP-1058,0.36170212765957444,0.003850623423381276,0.08017623966894333,0,68
EMP-1059,0.2925531914893617,0.0022987450009267292,0.0675201006237546,0,55
EMP-1060,0.2712765957446808,0.0019563515053316414,0.06310759054381693,0,51
EMP-1061,0.26063829787234044,0.00167074412435773,0.06187952130331613,0,49
EMP-1062,0.28723404255319146,0.0022159056372320213,0.0664989497342127,0,54
EMP-1063,0.2765957446808511,0.002030696520078671,0.06421590505598199,0,52
EMP-1064,0.28723404255319146,0.0021278363466398294,0.06699988714974162,0,54
EMP-1065,0.3404255319148936,0.0032908390391128113,0.07648250395273262,0,64
EMP-1066,0.3404255319148936,0.0032383513441906465,0.07672753228414493,0,64
EMP-1067,0.3670212765957447,0.004002795347005488,0.08108921960062551,0,69
EMP-1068,0.3670212765957447,0.004002020219105287,0.08101473804646696,0,69
EMP-1069,0.22872340425531915,0.0011089073637845137,0.05627107228961387,0,43
EMP-1070,0.26595744680851063,0.0018892392525692457,0.061917266661331696,0,50
EMP-1071,0.2712765957446808,0.0019094698710779763,0.06347061864310133,0,51
EMP-1072,0.2765957446808511,0.0020810979367904482,0.06390846178606696,0,52
EMP-1073,0.2765957446808511,0.002035381632522398,0.06420617708315678,0,52
EMP-1074,0.28723404255319146,0.002273032320679646,0.0659745006437029,0,54
EMP-1075,0.35638297872340424,0.003792905511333508,0.07882286233290685,0,67
EMP-1076,0.3404255319148936,0.0031928789122379403,0.07681255720697452,0,64
EMP-1077,0.35638297872340424,0.0037417309301382403,0.07910295442144455,0,67
